#,Name,Type 1,Type 2,Total,HP,Attack,Defense,Sp. Atk,Sp. Def,Speed,Habitat,Color,Body Style
57,Primeape,Fighting,,455,65,105,60,60,70,95,Mountain,Brown,bipedal
58,Growlithe,Fire,,350,55,70,45,70,50,60,Glassland,Red,quadruped body
59,Arcanine,Fire,,555,90,110,80,100,80,95,Glassland,Red,quadruped body
60,Poliwag,Water,,300,40,50,40,40,40,90,Water's-edge,Blue,head and legs
61,Poliwhirl,Water,,385,65,65,65,50,50,90,Water's-edge,Blue,bipedal
62,Poliwrath,Water,Fighting,510,90,95,95,70,90,70,Water's-edge,Blue,bipedal
63,Abra,Psychic,,310,25,20,15,105,55,90,Urban,Yellow,bipedal
64,Kadabra,Psychic,,400,40,35,30,120,70,105,Urban,Yellow,bipedal
65,Alakazam,Psychic,,500,55,50,45,135,95,120,Urban,Yellow,bipedal
66,Machop,Fighting,,305,70,80,50,35,35,35,Mountain,Gray,bipedal
67,Machoke,Fighting,,405,80,100,70,50,60,45,Mountain,Gray,bipedal
68,Machamp,Fighting,,505,90,130,80,65,85,55,Mountain,Gray,bipedal
69,Bellsprout,Grass,Poison,300,50,75,35,70,30,40,Forest,Green,bipedal
70,Weepinbell,Grass,Poison,390,65,90,50,85,45,55,Forest,Green,head and base
71,Victreebel,Grass,Poison,490,80,105,65,100,70,70,Forest,Green,head and base
72,Tentacool,Water,Poison,335,40,40,35,50,100,70,Sea,Blue,multiped body
73,Tentacruel,Water,Poison,515,80,70,65,80,120,100,Sea,Blue,multiped body
74,Geodude,Rock,Ground,300,40,80,100,30,30,20,Mountain,Gray,head and arms
75,Graveler,Rock,Ground,390,55,95,115,45,45,35,Mountain,Gray,bipedal
76,Golem,Rock,Ground,495,80,120,130,55,65,45,Mountain,Gray,bipedal
77,Ponyta,Fire,,410,50,85,55,65,65,90,Glassland,Red,quadruped body
78,Rapidash,Fire,,500,65,100,70,80,80,105,Glassland,Red,quadruped body
79,Slowpoke,Water,Psychic,315,90,65,65,40,40,15,Water's-edge,Pink,quadruped body
80,Slowbro,Water,Psychic,490,95,75,110,100,80,30,Water's-edge,Pink,head and arms
81,Magnemite,Electric,Steel,325,25,35,70,95,55,45,Rough-terrain,Gray,head and arms
82,Magneton,Electric,Steel,465,50,60,95,120,70,70,Rough-terrain,Gray,multiple bodies
83,Farfetch'd,Normal,Flying,352,52,65,55,58,62,60,Glassland,Brown,pairs of wings
84,Doduo,Normal,Flying,310,35,85,45,35,35,75,Glassland,Brown,head and legs
85,Dodrio,Normal,Flying,460,60,110,70,60,60,100,Glassland,Brown,head and legs
86,Seel,Water,,325,65,45,55,45,70,45,Sea,White,fins
87,Dewgong,Water,Ice,475,90,70,80,70,95,70,Sea,White,fins
88,Grimer,Poison,,325,80,80,50,40,50,25,Urban,Purple,head and arms
89,Muk,Poison,,500,105,105,75,65,100,50,Urban,Purple,head and arms
90,Shellder,Water,,305,30,65,100,45,25,40,Sea,Purple,only a head
91,Cloyster,Water,Ice,525,50,95,180,85,45,70,Sea,Purple,only a head
92,Gastly,Ghost,Poison,310,30,35,30,100,35,80,Cave,Purple,only a head
93,Haunter,Ghost,Poison,405,45,50,45,115,55,95,Cave,Purple,head and arms
94,Gengar,Ghost,Poison,500,60,65,60,130,75,110,Cave,Purple,bipedal
95,Onix,Rock,Ground,385,35,45,160,30,45,70,Cave,Gray,serpentine body
96,Drowzee,Psychic,,328,60,48,45,43,90,42,Glassland,Yellow,bipedal
97,Hypno,Psychic,,483,85,73,70,73,115,67,Glassland,Yellow,bipedal
98,Krabby,Water,,325,30,105,90,25,25,50,Water's-edge,Red,insectoid body
99,Kingler,Water,,475,55,130,115,50,50,75,Water's-edge,Red,insectoid body
100,Voltorb,Electric,,330,40,30,50,55,55,100,Urban,Red,only a head
101,Electrode,Electric,,480,60,50,70,80,80,140,Urban,Red,only a head
102,Exeggcute,Grass,Psychic,325,60,40,80,60,45,40,Forest,Green,multiple bodies
103,Exeggutor,Grass,Psychic,520,95,95,85,125,65,55,Forest,Green,head and legs
104,Cubone,Ground,,320,50,50,95,40,50,35,Mountain,Brown,bipedal
105,Marowak,Ground,,425,60,80,110,50,80,45,Mountain,Brown,bipedal
106,Hitmonlee,Fighting,,455,50,120,53,35,110,87,Urban,Brown,bipedal
107,Hitmonchan,Fighting,,455,50,105,79,35,110,76,Urban,Brown,bipedal
108,Lickitung,Normal,,385,90,55,75,60,75,30,Glassland,Pink,bipedal
109,Koffing,Poison,,340,40,65,95,60,45,35,Urban,Purple,only a head
110,Weezing,Poison,,490,65,90,120,85,70,60,Urban,Purple,multiple bodies
111,Rhyhorn,Ground,Rock,345,80,85,95,30,30,25,Rough-terrain,Gray,quadruped body
112,Rhydon,Ground,Rock,485,105,130,120,45,45,40,Rough-terrain,Gray,bipedal
113,Chansey,Normal,,450,250,5,5,35,105,50,Urban,Pink,bipedal
114,Tangela,Grass,,435,65,55,115,100,40,60,Glassland,Blue,head and legs
115,Kangaskhan,Normal,,490,105,95,80,40,80,90,Glassland,Brown,bipedal
116,Horsea,Water,,295,30,40,70,70,25,60,Sea,Blue,head and base
117,Seadra,Water,,440,55,65,95,95,45,85,Sea,Blue,head and base
118,Goldeen,Water,,320,45,67,60,35,50,63,Water's-edge,Red,fins
119,Seaking,Water,,450,80,92,65,65,80,68,Water's-edge,Red,fins
120,Staryu,Water,,340,30,45,55,70,55,85,Sea,Brown,head and base
121,Starmie,Water,Psychic,520,60,75,85,100,85,115,Sea,Purple,head and base
122,Mr. Mime,Psychic,Fairy,460,40,45,65,100,120,90,Urban,Pink,bipedal
123,Scyther,Bug,Flying,500,70,110,80,55,80,105,Glassland,Green,pairs of wings+
124,Jynx,Ice,Psychic,455,65,50,35,115,95,95,Urban,Red,bipedal
125,Electabuzz,Electric,,490,65,83,57,95,85,105,Glassland,Yellow,bipedal
126,Magmar,Fire,,495,65,95,57,100,85,93,Mountain,Red,bipedal
127,Pinsir,Bug,,500,65,125,100,55,70,85,Forest,Brown,pairs of wings+
128,Tauros,Normal,,490,75,100,95,40,70,110,Glassland,Brown,quadruped body
129,Magikarp,Water,,200,20,10,55,15,20,80,Water's-edge,Red,fins
130,Gyarados,Water,Flying,540,95,125,79,60,100,81,Water's-edge,Blue,serpentine body
131,Lapras,Water,Ice,535,130,85,80,85,95,60,Sea,Blue,fins
132,Ditto,Normal,,288,48,48,48,48,48,48,Urban,Purple,only a head
133,Eevee,Normal,,325,55,55,50,45,65,55,Urban,Brown,quadruped body
134,Vaporeon,Water,,525,130,65,60,110,95,65,Urban,Blue,quadruped body
135,Jolteon,Electric,,525,65,65,60,110,95,130,Urban,Yellow,quadruped body
136,Flareon,Fire,,525,65,130,60,95,110,65,Urban,Red,quadruped body
137,Porygon,Normal,,395,65,60,70,85,75,40,Urban,Pink,head and legs
138,Omanyte,Rock,Water,355,35,40,100,90,55,35,Sea,Blue,multiped body
139,Omastar,Rock,Water,495,70,60,125,115,70,55,Sea,Blue,multiped body
140,Kabuto,Rock,Water,355,30,80,90,55,45,55,Sea,Brown,insectoid body
141,Kabutops,Rock,Water,495,60,115,105,65,70,80,Sea,Brown,bipedal
142,Aerodactyl,Rock,Flying,515,80,105,65,60,75,130,Mountain,Purple,pairs of wings
143,Snorlax,Normal,,540,160,110,65,65,110,30,Mountain,Black,bipedal
144,Articuno,Ice,Flying,580,90,85,100,95,125,85,Rare,Blue,pairs of wings
145,Zapdos,Electric,Flying,580,90,90,85,125,90,100,Rare,Yellow,pairs of wings
146,Moltres,Fire,Flying,580,90,100,90,125,85,90,Rare,Red,pairs of wings
147,Dratini,Dragon,,300,41,64,45,50,50,50,Water's-edge,Blue,serpentine body
148,Dragonair,Dragon,,420,61,84,65,70,70,70,Water's-edge,Blue,serpentine body
149,Dragonite,Dragon,Flying,600,91,134,95,100,100,80,Water's-edge,Brown,bipedal
150,Mewtwo,Psychic,,680,106,110,90,154,90,130,Rare,Purple,bipedal
151,Mew,Psychic,,600,100,100,100,100,100,100,Rare,Pink,bipedal
152,Chikorita,Grass,,318,45,49,65,49,65,45,Glassland,Green,quadruped body
153,Bayleef,Grass,,405,60,62,80,63,80,60,Glassland,Green,quadruped body
154,Meganium,Grass,,525,80,82,100,83,100,80,Glassland,Green,quadruped body
155,Cyndaquil,Fire,,309,39,52,43,60,50,65,Glassland,Red,bipedal
156,Quilava,Fire,,405,58,64,58,80,65,80,Glassland,Red,quadruped body
157,Typhlosion,Fire,,534,78,84,78,109,85,100,Glassland,Red,quadruped body
158,Totodile,Water,,314,50,65,64,44,48,43,Water's-edge,Blue,bipedal
159,Croconaw,Water,,405,65,80,80,59,63,58,Water's-edge,Blue,bipedal
160,Feraligatr,Water,,530,85,105,100,79,83,78,Water's-edge,Blue,bipedal
161,Sentret,Normal,,215,35,46,34,35,45,20,Glassland,Brown,quadruped body
162,Furret,Normal,,415,85,76,64,45,55,90,Glassland,Brown,quadruped body
163,Hoothoot,Normal,Flying,262,60,30,30,36,56,50,Forest,Brown,pairs of wings
164,Noctowl,Normal,Flying,442,100,50,50,76,96,70,Forest,Brown,pairs of wings
165,Ledyba,Bug,Flying,265,40,20,30,40,80,55,Forest,Red,pairs of wings
166,Ledian,Bug,Flying,390,55,35,50,55,110,85,Forest,Red,pairs of wings
167,Spinarak,Bug,Poison,250,40,60,40,40,40,30,Forest,Green,insectoid body
168,Ariados,Bug,Poison,390,70,90,70,60,60,40,Forest,Red,insectoid body
169,Crobat,Poison,Flying,535,85,90,80,70,80,130,Cave,Purple,pairs of wings+
170,Chinchou,Water,Electric,330,75,38,38,56,56,67,Sea,Blue,fins
171,Lanturn,Water,Electric,460,125,58,58,76,76,67,Sea,Blue,fins
172,Pichu,Electric,,205,20,40,15,35,35,60,Forest,Yellow,quadruped body
173,Cleffa,Fairy,,218,50,25,28,45,55,15,Mountain,Pink,bipedal
174,Igglybuff,Normal,Fairy,210,90,30,15,40,20,15,Glassland,Pink,bipedal
175,Togepi,Fairy,,245,35,20,65,40,65,20,Forest,White,bipedal
176,Togetic,Fairy,Flying,405,55,40,85,80,105,40,Forest,White,bipedal
177,Natu,Psychic,Flying,320,40,50,45,70,45,70,Forest,Green,pairs of wings
178,Xatu,Psychic,Flying,470,65,75,70,95,70,95,Forest,Green,pairs of wings
179,Mareep,Electric,,280,55,40,40,65,45,35,Glassland,Yellow,quadruped body
180,Flaaffy,Electric,,365,70,55,55,80,60,45,Glassland,Yellow,bipedal
181,Ampharos,Electric,,510,90,75,85,115,90,55,Glassland,Yellow,bipedal
182,Bellossom,Grass,,490,75,80,95,90,100,50,Glassland,Green,bipedal
183,Marill,Water,Fairy,250,70,20,50,20,50,40,Water's-edge,Blue,bipedal
184,Azumarill,Water,Fairy,420,100,50,80,60,80,50,Water's-edge,Blue,bipedal
185,Sudowoodo,Rock,,410,70,100,115,30,65,30,Forest,Brown,bipedal
186,Politoed,Water,,500,90,75,75,90,100,70,Water's-edge,Green,bipedal
187,Hoppip,Grass,Flying,250,35,35,40,35,55,50,Glassland,Pink,bipedal
188,Skiploom,Grass,Flying,340,55,45,50,45,65,80,Glassland,Green,bipedal
189,Jumpluff,Grass,Flying,460,75,55,70,55,95,110,Glassland,Blue,bipedal
190,Aipom,Normal,,360,55,70,55,40,55,85,Forest,Purple,bipedal
191,Sunkern,Grass,,180,30,30,30,30,30,30,Glassland,Yellow,only a head
192,Sunflora,Grass,,425,75,75,55,105,85,30,Glassland,Yellow,bipedal
193,Yanma,Bug,Flying,390,65,65,45,75,45,95,Forest,Red,pairs of wings+
194,Wooper,Water,Ground,210,55,45,45,25,25,15,Water's-edge,Blue,head and legs
195,Quagsire,Water,Ground,430,95,85,85,65,65,35,Water's-edge,Blue,bipedal
196,Espeon,Psychic,,525,65,65,60,130,95,110,Urban,Purple,quadruped body
197,Umbreon,Dark,,525,95,65,110,60,130,65,Urban,Black,quadruped body
198,Murkrow,Dark,Flying,405,60,85,42,85,42,91,Forest,Black,pairs of wings
199,Slowking,Water,Psychic,490,95,75,80,100,110,30,Water's-edge,Pink,bipedal
200,Misdreavus,Ghost,,435,60,60,60,85,85,85,Cave,Black,only a head
201,Unown,Psychic,,336,48,72,48,72,48,48,Rare,Black,only a head
202,Wobbuffet,Psychic,,405,190,33,58,33,58,33,Cave,Blue,head and base
203,Girafarig,Normal,Psychic,455,70,80,65,90,65,85,Glassland,Yellow,quadruped body
204,Pineco,Bug,,290,50,65,90,35,35,15,Forest,Gray,only a head
205,Forretress,Bug,Steel,465,75,90,140,60,60,40,Forest,Purple,only a head
206,Dunsparce,Normal,,415,100,70,70,65,65,45,Cave,Yellow,serpentine body
207,Gligar,Ground,Flying,430,65,75,105,35,65,85,Mountain,Pink,pairs of wings
208,Steelix,Steel,Ground,510,75,85,200,55,65,30,Cave,Gray,serpentine body
209,Snubbull,Fairy,,300,60,80,50,40,40,30,Urban,Pink,bipedal
210,Granbull,Fairy,,450,90,120,75,60,60,45,Urban,Purple,bipedal
211,Qwilfish,Water,Poison,430,65,95,75,55,55,85,Sea,Gray,fins
212,Scizor,Bug,Steel,500,70,130,100,55,80,65,Glassland,Red,pairs of wings+
213,Shuckle,Bug,Rock,505,20,10,230,10,230,5,Mountain,Yellow,insectoid body
214,Heracross,Bug,Fighting,500,80,125,75,40,95,85,Forest,Blue,bipedal
215,Sneasel,Dark,Ice,430,55,95,55,35,75,115,Forest,Black,bipedal
216,Teddiursa,Normal,,330,60,80,50,50,50,40,Mountain,Brown,bipedal
217,Ursaring,Normal,,500,90,130,75,75,75,55,Mountain,Brown,bipedal
218,Slugma,Fire,,250,40,40,40,70,40,20,Mountain,Red,serpentine body
219,Magcargo,Fire,Rock,410,50,50,120,80,80,30,Mountain,Red,serpentine body
220,Swinub,Ice,Ground,250,50,50,40,30,30,50,Cave,Brown,quadruped body
221,Piloswine,Ice,Ground,450,100,100,80,60,60,50,Cave,Brown,quadruped body
222,Corsola,Water,Rock,380,55,55,85,65,85,35,Sea,Pink,insectoid body
223,Remoraid,Water,,300,35,65,35,65,35,65,Sea,Gray,fins
224,Octillery,Water,,480,75,105,75,105,75,45,Sea,Red,multiped body
225,Delibird,Ice,Flying,330,45,55,45,65,45,75,Mountain,Red,pairs of wings
226,Mantine,Water,Flying,465,65,40,70,80,140,70,Sea,Purple,pairs of wings
227,Skarmory,Steel,Flying,465,65,80,140,40,70,70,Rough-terrain,Gray,pairs of wings
228,Houndour,Dark,Fire,330,45,60,30,80,50,65,Rough-terrain,Black,quadruped body
229,Houndoom,Dark,Fire,500,75,90,50,110,80,95,Rough-terrain,Black,quadruped body
230,Kingdra,Water,Dragon,540,75,95,95,95,95,85,Sea,Blue,head and base
231,Phanpy,Ground,,330,90,60,60,40,40,40,Rough-terrain,Blue,quadruped body
232,Donphan,Ground,,500,90,120,120,60,60,50,Rough-terrain,Gray,quadruped body
233,Porygon2,Normal,,515,85,80,90,105,95,60,Urban,Red,head and legs
234,Stantler,Normal,,465,73,95,62,85,65,85,Forest,Brown,quadruped body
235,Smeargle,Normal,,250,55,20,35,20,45,75,Urban,White,bipedal
236,Tyrogue,Fighting,,210,35,35,35,35,35,35,Urban,Purple,bipedal
237,Hitmontop,Fighting,,455,50,95,95,35,110,70,Urban,Brown,bipedal
238,Smoochum,Ice,Psychic,305,45,30,15,85,65,65,Urban,Pink,bipedal
239,Elekid,Electric,,360,45,63,37,65,55,95,Glassland,Yellow,bipedal
240,Magby,Fire,,365,45,75,37,70,55,83,Mountain,Red,bipedal
241,Miltank,Normal,,490,95,80,105,40,70,100,Glassland,Pink,bipedal
242,Blissey,Normal,,540,255,10,10,75,135,55,Urban,Pink,bipedal
243,Raikou,Electric,,580,90,85,75,115,100,115,Glassland,Yellow,quadruped body
244,Entei,Fire,,580,115,115,85,90,75,100,Glassland,Red,quadruped body
245,Suicune,Water,,580,100,75,115,90,115,85,Glassland,Blue,quadruped body
246,Larvitar,Rock,Ground,300,50,64,50,45,50,41,Mountain,Green,bipedal
247,Pupitar,Rock,Ground,410,70,84,70,65,70,51,Mountain,Green,serpentine body
248,Tyranitar,Rock,Dark,600,100,134,110,95,100,61,Mountain,Green,bipedal
249,Lugia,Psychic,Flying,680,106,90,130,90,154,110,Rare,White,pairs of wings
250,Ho-oh,Fire,Flying,680,106,130,90,110,154,90,Rare,Red,pairs of wings
251,Celebi,Psychic,Grass,600,100,100,100,100,100,100,Forest,Green,bipedal
252,Treecko,Grass,,310,40,45,35,65,55,70,Forest,Green,bipedal
253,Grovyle,Grass,,405,50,65,45,85,65,95,Forest,Green,bipedal
254,Sceptile,Grass,,530,70,85,65,105,85,120,Forest,Green,bipedal
255,Torchic,Fire,,310,45,60,40,70,50,45,Glassland,Red,head and legs
256,Combusken,Fire,Fighting,405,60,85,60,85,60,55,Glassland,Red,bipedal
257,Blaziken,Fire,Fighting,530,80,120,70,110,70,80,Glassland,Red,bipedal
258,Mudkip,Water,,310,50,70,50,50,50,40,Water's-edge,Blue,quadruped body
259,Marshtomp,Water,Ground,405,70,85,70,60,70,50,Water's-edge,Blue,bipedal
260,Swampert,Water,Ground,535,100,110,90,85,90,60,Water's-edge,Blue,bipedal
261,Poochyena,Dark,,220,35,55,35,30,30,35,Glassland,Gray,quadruped body
262,Mightyena,Dark,,420,70,90,70,60,60,70,Glassland,Gray,quadruped body
263,Zigzagoon,Normal,,240,38,30,41,30,41,60,Glassland,Brown,quadruped body
264,Linoone,Normal,,420,78,70,61,50,61,100,Glassland,Brown,quadruped body
265,Wurmple,Bug,,195,45,45,35,20,30,20,Forest,Red,insectoid body
266,Silcoon,Bug,,205,50,35,55,25,25,15,Forest,White,only a head
267,Beautifly,Bug,Flying,395,60,70,50,100,50,65,Forest,Yellow,pairs of wings+
268,Cascoon,Bug,,205,50,35,55,25,25,15,Forest,Purple,only a head
269,Dustox,Bug,Poison,385,60,50,70,50,90,65,Forest,Green,pairs of wings+
270,Lotad,Water,Grass,220,40,30,30,40,50,30,Water's-edge,Green,insectoid body
271,Lombre,Water,Grass,340,60,50,50,60,70,50,Water's-edge,Green,bipedal
272,Ludicolo,Water,Grass,480,80,70,70,90,100,70,Water's-edge,Green,bipedal
273,Seedot,Grass,,220,40,40,50,30,30,30,Forest,Brown,head and legs
274,Nuzleaf,Grass,Dark,340,70,70,40,60,40,60,Forest,Green,bipedal
275,Shiftry,Grass,Dark,480,90,100,60,90,60,80,Forest,Brown,bipedal
276,Taillow,Normal,Flying,270,40,55,30,30,30,85,Glassland,Blue,pairs of wings
277,Swellow,Normal,Flying,430,60,85,60,50,50,125,Glassland,Blue,pairs of wings
278,Wingull,Water,Flying,270,40,30,30,55,30,85,Sea,White,pairs of wings
279,Pelipper,Water,Flying,430,60,50,100,85,70,65,Sea,Yellow,pairs of wings
280,Ralts,Psychic,Fairy,198,28,25,25,45,35,40,Urban,White,bipedal
281,Kirlia,Psychic,Fairy,278,38,35,35,65,55,50,Urban,White,bipedal
282,Gardevoir,Psychic,Fairy,518,68,65,65,125,115,80,Urban,White,bipedal
283,Surskit,Bug,Water,269,40,30,32,50,52,65,Water's-edge,Blue,insectoid body
284,Masquerain,Bug,Flying,414,70,60,62,80,82,60,Water's-edge,Blue,pairs of wings+
285,Shroomish,Grass,,295,60,40,60,40,60,35,Forest,Brown,head and legs
286,Breloom,Grass,Fighting,460,60,130,80,60,60,70,Forest,Green,bipedal
287,Slakoth,Normal,,280,60,60,60,35,35,30,Forest,Brown,quadruped body
288,Vigoroth,Normal,,440,80,80,80,55,55,90,Forest,White,bipedal
289,Slaking,Normal,,670,150,160,100,95,65,100,Forest,White,bipedal
290,Nincada,Bug,Ground,266,31,45,90,30,30,40,Forest,Gray,insectoid body
291,Ninjask,Bug,Flying,456,61,90,45,50,50,160,Forest,Yellow,pairs of wings+
292,Shedinja,Bug,Ghost,236,1,90,45,30,30,40,Forest,Brown,head and base
293,Whismur,Normal,,240,64,51,23,51,23,28,Cave,Pink,bipedal
294,Loudred,Normal,,360,84,71,43,71,43,48,Cave,Blue,bipedal
295,Exploud,Normal,,490,104,91,63,91,73,68,Cave,Blue,bipedal
296,Makuhita,Fighting,,237,72,60,30,20,30,25,Mountain,Yellow,bipedal
297,Hariyama,Fighting,,474,144,120,60,40,60,50,Mountain,Brown,bipedal
298,Azurill,Normal,Fairy,190,50,20,40,20,40,20,Water's-edge,Blue,head and legs
299,Nosepass,Rock,,375,30,45,135,45,90,30,Cave,Gray,bipedal
300,Skitty,Normal,,260,50,45,45,35,35,50,Forest,Pink,quadruped body
301,Delcatty,Normal,,380,70,65,65,55,55,70,Forest,Purple,quadruped body
302,Sableye,Dark,Ghost,380,50,75,75,65,65,50,Cave,Purple,bipedal
303,Mawile,Steel,Fairy,380,50,85,85,55,55,50,Cave,Black,bipedal
304,Aron,Steel,Rock,330,50,70,100,40,40,30,Mountain,Gray,quadruped body
305,Lairon,Steel,Rock,430,60,90,140,50,50,40,Mountain,Gray,quadruped body
306,Aggron,Steel,Rock,530,70,110,180,60,60,50,Mountain,Gray,bipedal
307,Meditite,Fighting,Psychic,280,30,40,55,40,55,60,Mountain,Blue,bipedal
308,Medicham,Fighting,Psychic,410,60,60,75,60,75,80,Mountain,Red,bipedal
309,Electrike,Electric,,295,40,45,40,65,40,65,Glassland,Green,quadruped body
310,Manectric,Electric,,475,70,75,60,105,60,105,Glassland,Yellow,quadruped body
311,Plusle,Electric,,405,60,50,40,85,75,95,Glassland,Yellow,bipedal
312,Minun,Electric,,405,60,40,50,75,85,95,Glassland,Yellow,bipedal
313,Volbeat,Bug,,400,65,73,55,47,75,85,Forest,Gray,bipedal
314,Illumise,Bug,,400,65,47,55,73,75,85,Forest,Purple,bipedal
315,Roselia,Grass,Poison,400,50,60,45,100,80,65,Glassland,Green,bipedal
316,Gulpin,Poison,,302,70,43,53,43,53,40,Glassland,Green,head and arms
317,Swalot,Poison,,467,100,73,83,73,83,55,Glassland,Purple,head and arms
318,Carvanha,Water,Dark,305,45,90,20,65,20,65,Sea,Red,fins
319,Sharpedo,Water,Dark,460,70,120,40,95,40,95,Sea,Blue,fins
320,Wailmer,Water,,400,130,70,35,70,35,60,Sea,Blue,fins
321,Wailord,Water,,500,170,90,45,90,45,60,Sea,Blue,fins
322,Numel,Fire,Ground,305,60,60,40,65,45,35,Mountain,Yellow,quadruped body
323,Camerupt,Fire,Ground,460,70,100,70,105,75,40,Mountain,Red,quadruped body
324,Torkoal,Fire,,470,70,85,140,85,70,20,Mountain,Red,quadruped body
325,Spoink,Psychic,,330,60,25,35,70,80,60,Mountain,Black,head and arms
326,Grumpig,Psychic,,470,80,45,65,90,110,80,Mountain,Purple,bipedal
327,Spinda,Normal,,360,60,60,60,60,60,60,Mountain,Brown,bipedal
328,Trapinch,Ground,,290,45,100,45,45,45,10,Rough-terrain,Brown,insectoid body
